symbol,price,volume,timestamp,sector
AAPL,101.93,221309,2025-08-22T18:52:48.782724,Energy
AAPL,106.54,408544,2025-08-21T18:52:48.782750,Energy
AAPL,106.11,747340,2025-08-20T18:52:48.782756,Healthcare
AAPL,105.22,548756,2025-08-19T18:52:48.782760,Finance
AAPL,110.18,406172,2025-08-18T18:52:48.782763,Healthcare
AAPL,106.8,163932,2025-08-17T18:52:48.782767,Tech
AAPL,108.64,64649,2025-08-16T18:52:48.782770,Healthcare
AAPL,104.13,687552,2025-08-15T18:52:48.782773,Energy
AAPL,107.49,17309,2025-08-14T18:52:48.782776,Finance
AAPL,111.5,923096,2025-08-13T18:52:48.782779,Healthcare
AAPL,107.93,809038,2025-08-12T18:52:48.782782,Tech
AAPL,111.75,508157,2025-08-11T18:52:48.782785,Finance
AAPL,111.1,709552,2025-08-10T18:52:48.782788,Energy
AAPL,113.29,659576,2025-08-09T18:52:48.782791,Finance
AAPL,118.42,132709,2025-08-08T18:52:48.782794,Energy
AAPL,113.37,121266,2025-08-07T18:52:48.782796,Energy
AAPL,111.18,475428,2025-08-06T18:52:48.782799,Finance
AAPL,112.18,962985,2025-08-05T18:52:48.782802,Healthcare
AAPL,115.48,258894,2025-08-04T18:52:48.782805,Tech
AAPL,118.54,101253,2025-08-03T18:52:48.782808,Finance
AAPL,118.96,800034,2025-08-02T18:52:48.782811,Energy
AAPL,120.77,276665,2025-08-01T18:52:48.782814,Healthcare
AAPL,120.01,894068,2025-07-31T18:52:48.782817,Finance
AAPL,121.62,211052,2025-07-30T18:52:48.782820,Finance
AAPL,122.1,250734,2025-07-29T18:52:48.782823,Energy
AAPL,117.02,688091,2025-07-28T18:52:48.782826,Energy
AAPL,115.35,530149,2025-07-27T18:52:48.782829,Tech
AAPL,116.01,638109,2025-07-26T18:52:48.782832,Energy
AAPL,120.0,287374,2025-07-25T18:52:48.782835,Healthcare
AAPL,120.34,63653,2025-07-24T18:52:48.782867,Energy
AAPL,123.02,50830,2025-07-23T18:52:48.782951,Energy
AAPL,122.23,761585,2025-07-22T18:52:48.782968,Tech
AAPL,118.79,963561,2025-07-21T18:52:48.782977,Healthcare
AAPL,120.38,709133,2025-07-20T18:52:48.782984,Energy
AAPL,124.07,247538,2025-07-19T18:52:48.782992,Tech
AAPL,126.52,72902,2025-07-18T18:52:48.782999,Tech
AAPL,127.58,231271,2025-07-17T18:52:48.783006,Healthcare
AAPL,132.03,601939,2025-07-16T18:52:48.783012,Healthcare
AAPL,129.75,356100,2025-07-15T18:52:48.783019,Finance
AAPL,130.99,134747,2025-07-14T18:52:48.783026,Healthcare
AAPL,134.17,164123,2025-07-13T18:52:48.783033,Tech
AAPL,138.1,613038,2025-07-12T18:52:48.783040,Energy
AAPL,135.03,725379,2025-07-11T18:52:48.783046,Finance
AAPL,134.76,439874,2025-07-10T18:52:48.783053,Energy
AAPL,131.18,373876,2025-07-09T18:52:48.783060,Healthcare
AAPL,135.33,795969,2025-07-08T18:52:48.783066,Healthcare
AAPL,130.56,94346,2025-07-07T18:52:48.783073,Energy
AAPL,135.4,520949,2025-07-06T18:52:48.783080,Finance
AAPL,141.94,871647,2025-07-05T18:52:48.783086,Tech
AAPL,140.0,805355,2025-07-04T18:52:48.783093,Tech
AAPL,142.21,783536,2025-07-03T18:52:48.783100,Healthcare
AAPL,147.1,116116,2025-07-02T18:52:48.783107,Healthcare
AAPL,145.82,247124,2025-07-01T18:52:48.783114,Healthcare
AAPL,138.56,896825,2025-06-30T18:52:48.783121,Energy
AAPL,137.36,511866,2025-06-29T18:52:48.783127,Energy
AAPL,132.02,499437,2025-06-28T18:52:48.783134,Energy
AAPL,126.48,416236,2025-06-27T18:52:48.783141,Tech
AAPL,128.95,292287,2025-06-26T18:52:48.783159,Healthcare
AAPL,134.25,650536,2025-06-25T18:52:48.783164,Energy
AAPL,137.84,652343,2025-06-24T18:52:48.783168,Finance
AAPL,134.83,596640,2025-06-23T18:52:48.783171,Finance
AAPL,138.17,418941,2025-06-22T18:52:48.783174,Tech
AAPL,140.05,153132,2025-06-21T18:52:48.783177,Healthcare
AAPL,142.07,730368,2025-06-20T18:52:48.783180,Healthcare
AAPL,137.32,116394,2025-06-19T18:52:48.783183,Tech
AAPL,140.07,353542,2025-06-18T18:52:48.783186,Finance
AAPL,138.89,264536,2025-06-17T18:52:48.783189,Tech
AAPL,135.76,862179,2025-06-16T18:52:48.783192,Healthcare
AAPL,139.73,190574,2025-06-15T18:52:48.783195,Finance
AAPL,139.93,374434,2025-06-14T18:52:48.783197,Finance
AAPL,137.61,876554,2025-06-13T18:52:48.783200,Finance
AAPL,131.59,571958,2025-06-12T18:52:48.783203,Finance
AAPL,131.49,943531,2025-06-11T18:52:48.783206,Tech
AAPL,125.79,804196,2025-06-10T18:52:48.783209,Tech
AAPL,122.46,460905,2025-06-09T18:52:48.783212,Healthcare
AAPL,118.84,825693,2025-06-08T18:52:48.783215,Energy
AAPL,121.79,904651,2025-06-07T18:52:48.783218,Healthcare
AAPL,116.68,465996,2025-06-06T18:52:48.783221,Finance
AAPL,120.39,341362,2025-06-05T18:52:48.783224,Tech
AAPL,117.77,189482,2025-06-04T18:52:48.783227,Energy
AAPL,113.38,76677,2025-06-03T18:52:48.783230,Energy
AAPL,111.47,490238,2025-06-02T18:52:48.783233,Healthcare
AAPL,109.01,53728,2025-06-01T18:52:48.783236,Finance
AAPL,112.44,774038,2025-05-31T18:52:48.783238,Healthcare
AAPL,116.9,132930,2025-05-30T18:52:48.783241,Finance
AAPL,121.53,505647,2025-05-29T18:52:48.783244,Tech
AAPL,125.54,711123,2025-05-28T18:52:48.783247,Tech
AAPL,126.49,197329,2025-05-27T18:52:48.783250,Tech
AAPL,126.51,795777,2025-05-26T18:52:48.783253,Tech
AAPL,129.53,749861,2025-05-25T18:52:48.783256,Tech
AAPL,134.43,267549,2025-05-24T18:52:48.783259,Energy
AAPL,138.94,96743,2025-05-23T18:52:48.783262,Finance
AAPL,138.49,493315,2025-05-22T18:52:48.783265,Healthcare
AAPL,135.5,302440,2025-05-21T18:52:48.783268,Healthcare
AAPL,135.48,871645,2025-05-20T18:52:48.783271,Tech
AAPL,139.39,724863,2025-05-19T18:52:48.783273,Finance
AAPL,134.2,842036,2025-05-18T18:52:48.783276,Tech
AAPL,130.61,554764,2025-05-17T18:52:48.783279,Energy
AAPL,130.45,612623,2025-05-16T18:52:48.783307,Energy
AAPL,133.74,412375,2025-05-15T18:52:48.783318,Healthcare
AAPL,127.82,699977,2025-05-14T18:52:48.783325,Finance
AAPL,132.48,48555,2025-05-13T18:52:48.783332,Finance
