symbol,price,volume,timestamp,sector,price_category
AAPL,101.93,221309,2025-08-22T18:52:48.782724,Energy,High
AAPL,106.54,408544,2025-08-21T18:52:48.782750,Energy,High
AAPL,106.11,747340,2025-08-20T18:52:48.782756,Healthcare,High
AAPL,105.22,548756,2025-08-19T18:52:48.782760,Finance,High
AAPL,110.18,406172,2025-08-18T18:52:48.782763,Healthcare,High
AAPL,106.8,163932,2025-08-17T18:52:48.782767,Tech,High
AAPL,108.64,64649,2025-08-16T18:52:48.782770,Healthcare,High
AAPL,104.13,687552,2025-08-15T18:52:48.782773,Energy,High
AAPL,107.49,17309,2025-08-14T18:52:48.782776,Finance,High
AAPL,111.5,923096,2025-08-13T18:52:48.782779,Healthcare,High
AAPL,107.93,809038,2025-08-12T18:52:48.782782,Tech,High
AAPL,111.75,508157,2025-08-11T18:52:48.782785,Finance,High
AAPL,111.1,709552,2025-08-10T18:52:48.782788,Energy,High
AAPL,113.29,659576,2025-08-09T18:52:48.782791,Finance,High
AAPL,118.42,132709,2025-08-08T18:52:48.782794,Energy,High
AAPL,113.37,121266,2025-08-07T18:52:48.782796,Energy,High
AAPL,111.18,475428,2025-08-06T18:52:48.782799,Finance,High
AAPL,112.18,962985,2025-08-05T18:52:48.782802,Healthcare,High
AAPL,115.48,258894,2025-08-04T18:52:48.782805,Tech,High
AAPL,118.54,101253,2025-08-03T18:52:48.782808,Finance,High
AAPL,118.96,800034,2025-08-02T18:52:48.782811,Energy,High
AAPL,120.77,276665,2025-08-01T18:52:48.782814,Healthcare,High
AAPL,120.01,894068,2025-07-31T18:52:48.782817,Finance,High
AAPL,121.62,211052,2025-07-30T18:52:48.782820,Finance,High
AAPL,122.1,250734,2025-07-29T18:52:48.782823,Energy,High
AAPL,117.02,688091,2025-07-28T18:52:48.782826,Energy,High
AAPL,115.35,530149,2025-07-27T18:52:48.782829,Tech,High
AAPL,116.01,638109,2025-07-26T18:52:48.782832,Energy,High
AAPL,120.0,287374,2025-07-25T18:52:48.782835,Healthcare,High
AAPL,120.34,63653,2025-07-24T18:52:48.782867,Energy,High
AAPL,123.02,50830,2025-07-23T18:52:48.782951,Energy,High
